
100 4e-05 1e+06
600 0.001169 1e+06
1100 0.002808 1e+06
1600 0.007147 1e+06
2100 0.010261 1e+06
2600 0.015971 1e+06
3100 0.024365 1e+06
3600 0.031444 1e+06
4100 0.042329 1e+06
4600 0.048963 1e+06
5100 0.060694 1e+06
5600 0.072838 1e+06
6100 0.086159 1e+06
6600 0.10096 1e+06
7100 0.117622 1e+06
7600 0.136185 1e+06
8100 0.152807 1e+06
8600 0.173886 1e+06
9100 0.193981 1e+06
9600 0.216437 1e+06
10100 0.242611 1e+06
10600 0.260045 1e+06
11100 0.290976 1e+06
11600 0.319072 1e+06
12100 0.339931 1e+06
12600 0.38472 1e+06
13100 0.42401 1e+06
13600 0.438827 1e+06
14100 0.460861 1e+06
14600 0.511244 1e+06
15100 0.532584 1e+06
15600 0.565873 1e+06
16100 0.620743 1e+06
16600 0.639599 1e+06
17100 0.68424 1e+06
17600 0.731115 1e+06
18100 0.759812 1e+06
18600 0.808019 1e+06
19100 0.848434 1e+06
19600 0.897194 1e+06
20100 0.945986 1e+06
20600 0.97912 1e+06
21100 1.0305 1e+06
21600 1.08733 1e+06
22100 1.13225 1e+06
22600 1.19554 1e+06
23100 1.24341 1e+06
23600 1.29711 1e+06
24100 1.40046 1e+06
24600 1.49102 1e+06
25100 1.48273 1e+06
25600 1.57923 1e+06
26100 1.60005 1e+06
26600 1.6341 1e+06
27100 1.7027 1e+06
27600 1.80252 1e+06
28100 1.83385 1e+06
28600 1.89716 1e+06
29100 1.9807 1e+06
29600 2.04395 1e+06
