
100 1e-06 1e+06
600 2e-06 1e+06
1100 6e-06 1e+06
1600 9e-06 1e+06
2100 1.1e-05 1e+06
2600 1.3e-05 1e+06
3100 1e-05 1e+06
3600 1.8e-05 1e+06
4100 1.1e-05 1e+06
4600 1.3e-05 1e+06
5100 1.4e-05 1e+06
5600 1.5e-05 1e+06
6100 1.6e-05 1e+06
6600 1.8e-05 1e+06
7100 1.9e-05 1e+06
7600 2.1e-05 1e+06
8100 2.3e-05 1e+06
8600 3e-05 1e+06
9100 2.5e-05 1e+06
9600 2.6e-05 1e+06
10100 2.7e-05 1e+06
10600 3.2e-05 1e+06
11100 3.8e-05 1e+06
11600 3.7e-05 1e+06
12100 3.4e-05 1e+06
12600 3.4e-05 1e+06
13100 3.4e-05 1e+06
13600 3.6e-05 1e+06
14100 3.7e-05 1e+06
14600 3.9e-05 1e+06
15100 4.1e-05 1e+06
15600 4.1e-05 1e+06
16100 4.2e-05 1e+06
16600 4.7e-05 1e+06
17100 4.5e-05 1e+06
17600 4.8e-05 1e+06
18100 4.8e-05 1e+06
18600 5e-05 1e+06
19100 5e-05 1e+06
19600 5.2e-05 1e+06
20100 5.3e-05 1e+06
20600 5.5e-05 1e+06
21100 5.8e-05 1e+06
21600 5.7e-05 1e+06
22100 5.8e-05 1e+06
22600 5.9e-05 1e+06
23100 6.1e-05 1e+06
23600 6.2e-05 1e+06
24100 6.3e-05 1e+06
24600 6.5e-05 1e+06
25100 6.8e-05 1e+06
25600 7.1e-05 1e+06
26100 7e-05 1e+06
26600 0.0001 1e+06
27100 7.3e-05 1e+06
27600 7.5e-05 1e+06
28100 7.9e-05 1e+06
28600 7.5e-05 1e+06
29100 8.4e-05 1e+06
29600 8e-05 1e+06
