
100 2.5e-05 1e+06
600 0.000493 1e+06
1100 0.001571 1e+06
1600 0.00198 1e+06
2100 0.00318 1e+06
2600 0.005152 1e+06
3100 0.007713 1e+06
3600 0.010819 1e+06
4100 0.015035 1e+06
4600 0.019669 1e+06
5100 0.026568 1e+06
5600 0.03238 1e+06
6100 0.039195 1e+06
6600 0.048032 1e+06
7100 0.056152 1e+06
7600 0.06645 1e+06
8100 0.075682 1e+06
8600 0.089213 1e+06
9100 0.100002 1e+06
9600 0.113326 1e+06
10100 0.125664 1e+06
10600 0.14065 1e+06
11100 0.154906 1e+06
11600 0.173597 1e+06
12100 0.191563 1e+06
12600 0.207261 1e+06
13100 0.22983 1e+06
13600 0.245431 1e+06
14100 0.266582 1e+06
14600 0.283729 1e+06
15100 0.30596 1e+06
15600 0.328522 1e+06
16100 0.353507 1e+06
16600 0.382854 1e+06
17100 0.405994 1e+06
17600 0.435095 1e+06
18100 0.463024 1e+06
18600 0.517887 1e+06
19100 0.528866 1e+06
19600 0.529527 1e+06
20100 0.576716 1e+06
20600 0.616486 1e+06
21100 0.645559 1e+06
21600 0.654525 1e+06
22100 0.699156 1e+06
22600 0.722803 1e+06
23100 0.772405 1e+06
23600 0.795391 1e+06
24100 0.841855 1e+06
24600 0.882368 1e+06
25100 0.898239 1e+06
25600 0.942272 1e+06
26100 0.961841 1e+06
26600 1.01813 1e+06
27100 1.06685 1e+06
27600 1.10064 1e+06
28100 1.13817 1e+06
28600 1.18299 1e+06
29100 1.21349 1e+06
29600 1.26533 1e+06
